|A|,method,set_size_mean,coverage_overall,worst_case_coverage,worst_miscoverage,avg_utility,avg_maxmin,fdr_overall,num_actions_used,critical_error_rate,miscoverage,cov_a0,cov_a1,cov_a2,cov_a3,cov_a4,cov_a5,cov_a6,cov_a7,cov_a8,cov_a9
4,AC-RAC,3.372933396315541,0.9456778460085026,0.8434782608695652,0.1565217391304347,6.7952290977798775,6.085262163438829,0.6992796410014172,4,0.0035427491733585,0.0543221539914974,0.9271844660194176,0.9361702127659576,0.8434782608695652,0.9498189342990172,,,,,,
4,RAC,3.251535191308456,0.9527633443552196,0.8709923664122138,0.1290076335877862,7.55810108644308,6.376003778932452,0.6821169894504802,3,0.0399149740198393,0.0472366556447803,0.8709923664122138,0.9655172413793104,,0.9896373056994818,,,,,,
4,Score-1,2.468351440717997,0.9492205951818612,0.895,0.1049999999999999,6.795465281058101,4.522201228153047,0.5845339316643048,3,0.0035427491733585,0.0507794048181389,0.895,1.0,,0.951837140019861,,,,,,
4,Score-2,2.4192253188474258,0.9487482286254132,0.8766603415559773,0.1233396584440227,7.118327822390175,5.038261691072272,0.5499527633443552,3,0.0092111478507321,0.0512517713745866,0.8766603415559773,0.9090909090909092,,0.9592944369063772,,,,,,
6,AC-RAC,3.0418044402456306,0.9676428908833254,0.8674698795180723,0.1325301204819277,7.239726027397261,7.084081247047709,0.6736143914344197,6,0.0021256495040151,0.0323571091166745,0.9366197183098592,0.9183673469387756,0.8674698795180723,0.9663236669784846,0.95,0.9778404512489928,,,,
6,RAC,3.1280113367973548,0.95701464336325,0.8874801901743264,0.1125198098256735,7.717760982522438,6.791686348606519,0.6700519603212093,5,0.033538025507794,0.04298535663675,0.8874801901743264,0.9411764705882352,,0.9845961698584512,1.0,0.9950980392156864,,,,
6,Score-1,2.468351440717997,0.9492205951818612,0.895,0.1049999999999999,7.209022201228153,5.283419933868682,0.5845339316643048,5,0.0035427491733585,0.0507794048181389,0.895,1.0,,0.962714141753443,1.0,0.9153924566768604,,,,
6,Score-2,2.4192253188474258,0.9487482286254132,0.8766603415559773,0.1233396584440227,7.440245630609353,5.675247992442135,0.5499527633443552,5,0.0092111478507321,0.0512517713745866,0.8766603415559773,0.9090909090909092,,0.9709219858156029,1.0,0.9108781127129753,,,,
8,AC-RAC,3.642654700047237,0.980869154463864,0.8588235294117647,0.1411764705882353,7.432923948984412,8.206896551724139,0.718784443394741,8,0.0021256495040151,0.019130845536136,0.928,0.9102564102564102,0.8588235294117647,0.9377880184331796,0.9210526315789472,0.9444444444444444,1.0,1.0,,
8,RAC,3.1358053849787435,0.9511100614076524,0.867704280155642,0.1322957198443579,7.7723193197921585,8.180680207841284,0.6728861596598961,6,0.0401511572980632,0.0488899385923476,0.867704280155642,0.9230769230769232,,0.9690402476780186,0.9838709677419356,0.992619926199262,1.0,,,
8,Score-1,2.468351440717997,0.9492205951818612,0.895,0.1049999999999999,7.393953708077468,5.84081247047709,0.5845339316643048,6,0.0035427491733585,0.0507794048181389,0.895,1.0,,0.9748638458315878,1.0,0.9153924566768604,0.9135593220338984,,,
8,Score-2,2.4192253188474258,0.9487482286254132,0.8766603415559773,0.1233396584440227,7.51936702881436,5.986301369863014,0.5499527633443552,7,0.0092111478507321,0.0512517713745866,0.8766603415559773,0.9090909090909092,,0.980722891566265,1.0,0.9108781127129753,0.8966565349544073,1.0,,
10,AC-RAC,3.4152102031176192,0.9671705243268776,0.8275862068965517,0.1724137931034483,7.381199811053378,8.510392064241852,0.6952842072114627,9,0.0021256495040151,0.0328294756731223,0.925,0.9210526315789472,0.8275862068965517,0.9558823529411764,0.9217081850533808,,0.9575361642557164,1.0,1.0,1.0
10,RAC,3.1865847897968824,0.9504015115729806,0.8635116598079561,0.1364883401920439,7.715871516296646,8.58904109589041,0.6769406392694064,9,0.0470004723665564,0.0495984884270194,0.8635116598079561,0.935483870967742,,0.9967637540453076,0.9679144385026738,0.9913793103448276,1.0,1.0,1.0,1.0
10,Score-1,2.468351440717997,0.9492205951818612,0.895,0.1049999999999999,7.364666981577704,5.8816721776098255,0.5845339316643048,8,0.0035427491733585,0.0507794048181389,0.895,1.0,,0.9769647696476964,1.0,0.9153924566768604,0.9135593220338984,,1.0,0.9473684210526316
10,Score-2,2.4192253188474258,0.9487482286254132,0.8766603415559773,0.1233396584440227,7.499527633443552,6.016060462919225,0.5499527633443552,9,0.0092111478507321,0.0512517713745866,0.8766603415559773,0.9090909090909092,,0.9818104906937394,1.0,0.9108781127129753,0.8966565349544073,1.0,1.0,0.9586776859504132
