alpha,method,set_size_mean,coverage_overall,miscoverage,avg_utility,avg_maxmin,fdr_overall,cov_a0,cov_a1,cov_a2,cov_a3,setsize_a0,setsize_a1,setsize_a2,setsize_a3,pneumonia_no_action_rate,covid_no_action_rate,lung_opacity_no_action_rate
0.01,AC-RAC,3.796646197449221,0.9881908360888048,0.0118091639111951,6.679971658006613,4.736891828058574,0.7325814832309873,0.9135802469135802,0.9130434782608696,0.803921568627451,0.9928500986193294,2.0,2.0,2.0,3.875493096646943,0.0,0.0096818810511756,0.0016625103906899
0.01,RAC,3.772791686348607,0.990552668871044,0.009447331128956,6.976854038734058,4.744685876239962,0.7274641788694693,0.9183673469387756,0.8888888888888888,,0.9981737542394992,2.0,2.0,,3.958257239759979,0.0037174721189591,0.0428769017980636,0.0133000831255195
0.01,Score-1,2.980160604629192,0.9891355692017004,0.0108644307982994,6.584081247047709,4.067076051015588,0.6579869311919383,1.0,1.0,,0.9891227240482384,1.0,1.0,,2.982501773468905,0.0,0.0,0.0
0.01,Score-2,2.9572508266414737,0.9884270193670288,0.0115729806329711,6.645016532829476,4.171232876712328,0.6480475515666824,0.896551724137931,1.0,,0.9896882494004796,1.0,1.0,,2.987290167865708,0.0037174721189591,0.0055325034578146,0.0008312551953449
0.02,AC-RAC,3.70099196976854,0.980869154463864,0.019130845536136,6.705007085498346,5.060462919225319,0.7246102975909305,0.9292929292929292,0.903846153846154,0.7804878048780488,0.9851558634339436,2.0,2.0,2.0,3.78179119247897,0.0,0.0096818810511756,0.0024937655860349
0.02,RAC,3.645961265942372,0.9848842701936704,0.0151157298063296,7.1601322626358055,5.141946150212565,0.7148677373641946,0.9131832797427653,0.9,,0.9975013881177124,2.0,2.0,,3.9347584675180456,0.0074349442379182,0.0719225449515905,0.0299251870324189
0.02,Score-1,2.8020784128483704,0.9789796882380728,0.0210203117619272,6.612659423712802,4.171941426547001,0.6351165170839237,0.8529411764705882,1.0,,0.9799809342230696,1.0,1.0,,2.8183984747378457,0.0,0.0055325034578146,0.0008312551953449
0.02,Score-2,2.812234293811998,0.980869154463864,0.019130845536136,6.7574397732640525,4.347661785545584,0.6229727601952448,0.9144736842105264,1.0,,0.9833005893909628,1.0,1.0,,2.8843320235756384,0.0037174721189591,0.0124481327800829,0.0024937655860349
0.03,AC-RAC,3.566131317902693,0.9702409069437884,0.0297590930562116,6.7182333490788855,5.474019839395371,0.7124271768225477,0.9322033898305084,0.9090909090909092,0.8243243243243243,0.9749184850764986,2.0,2.0,2.0,3.6631552545773767,0.0,0.0110650069156293,0.0033250207813798
0.03,RAC,3.487246102975909,0.9742560226735948,0.0257439773264053,7.360415682569674,5.636513934813415,0.7005589670917965,0.8993362831858407,0.95,,0.9948640483383686,2.0,2.0,,3.902416918429003,0.0223048327137546,0.1175656984785615,0.0498753117206982
0.03,Score-1,2.664383561643836,0.9669343410486536,0.0330656589513462,6.664383561643835,4.283419933868682,0.6160643993071958,0.8860759493670886,1.0,,0.9684261267775368,1.0,1.0,,2.698481561822126,0.0,0.0096818810511756,0.0016625103906899
0.03,Score-2,2.6813887576759567,0.9742560226735948,0.0257439773264053,6.871988663202646,4.544638639584317,0.598468745079515,0.9073359073359072,1.0,,0.9785570131180624,1.0,1.0,,2.7959132189707367,0.0037174721189591,0.0193637621023513,0.0074812967581047
0.05,AC-RAC,3.372933396315541,0.9456778460085026,0.0543221539914974,6.7952290977798775,6.085262163438829,0.6992796410014172,0.9271844660194176,0.9361702127659576,0.8434782608695652,0.9498189342990172,2.0,2.0,2.0,3.5036213140196586,0.0037174721189591,0.0193637621023513,0.0058187863674147
0.05,RAC,3.251535191308456,0.9527633443552196,0.0472366556447803,7.55810108644308,6.376003778932452,0.6821169894504802,0.8709923664122138,0.9655172413793104,,0.9896373056994818,2.0,2.0,,3.830397236614853,0.0446096654275092,0.2171507607192254,0.0798004987531172
0.05,Score-1,2.468351440717997,0.9492205951818612,0.0507794048181389,6.795465281058101,4.522201228153047,0.5845339316643048,0.895,1.0,,0.951837140019861,1.0,1.0,,2.5434458788480634,0.0037174721189591,0.0193637621023513,0.0049875311720698
0.05,Score-2,2.4192253188474258,0.9487482286254132,0.0512517713745866,7.118327822390175,5.038261691072272,0.5499527633443552,0.8766603415559773,0.9090909090909092,,0.9592944369063772,1.0,1.0,,2.630664857530529,0.0148698884758364,0.0484094052558782,0.0216126350789692
0.1,AC-RAC,2.964100141709967,0.9041095890410958,0.0958904109589041,6.870571563533302,7.350023618327822,0.6648559282002834,0.9053333333333332,0.9142857142857144,0.8852772466539197,0.9069526115530958,2.0,2.0,1.904397705544933,3.429263230716016,0.0074349442379182,0.0954356846473029,0.0349127182044887
0.1,RAC,2.750118091639112,0.9048181388757676,0.0951818611242324,7.705951818611243,7.913320736891828,0.6439340261376162,0.8422044276966557,0.9152542372881356,,0.9692982456140352,2.0,2.0,,3.54775828460039,0.1449814126394052,0.4094052558782849,0.1920199501246882
0.1,Score-1,2.101558809636278,0.9012753897024092,0.0987246102975909,7.114312706660368,5.173830892772791,0.523893874980318,0.8667883211678832,0.9166666666666666,,0.9063690800217746,1.0,1.0,,2.269461077844311,0.0037174721189591,0.0594744121715076,0.0241064006650041
0.1,Score-2,2.057628719886632,0.9090694378837978,0.0909305621162022,7.449456778460085,5.92678318375059,0.4788615965989607,0.8252427184466019,0.9142857142857144,,0.9362574944777532,1.0,1.0,,2.4130640580624805,0.0557620817843866,0.1258644536652835,0.0615128844555278
